MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,RMS,Zero_Crossing_Rate,label
133.39047,42.058544,-7.729172,8.866003,-5.6350303,-6.5378323,-4.695051,-3.8843062,-9.62185,-10.250159,-3.9540405,-5.2280254,-7.12756,0.41538295,0.36963406,0.33746517,0.29649115,0.17636287,0.16677622,0.22973295,0.31467015,0.30808944,0.35385215,0.42100975,0.43371847,0.9887474,0.10399702904929578,elif
-355.91632,135.55846,-14.494087,14.147283,48.38976,12.649868,-24.172174,-12.244856,-10.484389,-6.831806,-4.2594686,-10.89839,-19.347692,0.47993258,0.39563993,0.3244244,0.23250133,0.15350659,0.14726752,0.24116135,0.2920864,0.33837655,0.3923805,0.466691,0.4070619,0.085870646,0.05799119015957447,elif
-352.4533,179.91005,-4.221006,0.7081244,54.355057,34.78423,-16.68571,-15.640681,-1.4902558,-1.7994487,-13.366616,-19.40805,-21.333054,0.24204001,0.24345915,0.2928766,0.32884735,0.4635769,0.64653885,0.77350354,0.5555852,0.42052707,0.3919903,0.3928485,0.2727637,0.067947425,0.024104420731707318,elif
-386.3376,193.0324,36.260864,-9.528685,-9.412153,27.891329,39.906326,13.43398,9.723943,8.042725,5.614994,-0.76428246,-3.7007625,0.367992,0.38298738,0.3571488,0.34292662,0.3076588,0.403599,0.5540306,0.61661047,0.6393402,0.5831673,0.5117538,0.41327775,0.082976684,0.017257037329766536,elif
136.15971,54.713673,-11.756925,7.178353,-6.618366,-9.67859,-10.4955225,-10.952955,-10.876977,-6.9035053,-2.4304368,-1.6221206,-2.5311291,0.20563446,0.1500461,0.13913259,0.14129046,0.24104849,0.4524678,0.55111456,0.42721385,0.32783246,0.30783412,0.3125386,0.25421467,0.9892387,0.06115206866197183,elif
-338.13312,171.64969,-9.96902,-3.105932,47.138954,28.721485,-16.171713,-5.8787394,-7.3116074,-10.481301,-14.368606,-12.695339,-20.410542,0.24944067,0.19014981,0.17558376,0.2087492,0.3329883,0.5109064,0.559516,0.42517754,0.3681656,0.33994132,0.31214726,0.2682869,0.08493213,0.03176771664450355,elif
-459.2953,113.60463,-3.2616258,5.697835,40.423973,17.779411,-14.235444,-2.9221842,-5.736932,-5.177789,-7.03907,-7.9565225,-10.663498,0.46722972,0.4059411,0.28733563,0.3408472,0.4047073,0.48973817,0.66593736,0.54999214,0.44874686,0.47206256,0.43446702,0.37172872,0.026263865,0.08979861475840337,elif
-396.8686,69.07527,-17.48904,-1.378556,-63.430218,-2.186404,-19.747763,-12.504542,-13.226298,-13.811329,-8.376485,3.2219074,5.39744,0.28573537,0.2903157,0.41357812,0.6265258,0.5075402,0.40047392,0.50046986,0.42490354,0.27361143,0.33902726,0.3435024,0.26221365,0.028608989,0.17479306175595238,elif
156.99693,48.430603,1.3531499,12.880752,-5.087264,-9.735878,-4.861051,-6.9253836,-6.628922,-4.3457837,-5.0025697,-6.606795,-6.5651054,0.43392527,0.40746778,0.3269212,0.37737572,0.39341056,0.5145076,0.68629324,0.5413874,0.4549367,0.51288337,0.41990554,0.34355673,0.9868236,0.13414667693661972,elif
-450.60776,113.088936,-6.897084,7.1246877,42.54052,17.859213,-14.496977,-1.1732615,-5.9036655,-5.61816,-6.9343643,-7.731203,-10.914033,0.39581603,0.4778463,0.35537934,0.29594263,0.3696903,0.41435447,0.59084743,0.6769144,0.51965964,0.45626554,0.47386977,0.38430738,0.02687677,0.08965674867021277,elif
-338.97745,176.5647,-20.314415,10.168893,42.119625,15.568185,-30.092829,-15.005716,-15.748113,-10.211151,-18.001808,-18.68379,-25.122051,0.2901862,0.34466636,0.34265056,0.23051389,0.14205247,0.12624295,0.18865323,0.39836097,0.6981927,0.7126772,0.45738056,0.3505271,0.057273794,0.034126900337837836,elif
-295.82794,118.05468,-29.010096,38.5524,23.022917,-31.1182,-31.517408,-11.473914,-16.25748,-20.199118,-24.76382,-18.442324,-5.176404,0.16719235,0.18191011,0.23038356,0.23143543,0.32212982,0.46273714,0.48543492,0.33958447,0.25291902,0.18868625,0.11297804,0.12918769,0.093662076,0.05881980613425926,elif
